Type,Airport_Source,Airport Name,Airport_Dest,Passenger-Arr 2019,Passenger-Arr 2020,Passenger-Dep 2019,Passenger-Dep 2020,%Chg Arr,%Chg Dep,Rank_arrivals,Rank_dep,Rank_flights
Summary,ATL,Hartsfield-Jackson Atlanta International Airport,ATL,47316000,18950000,47261000,18873000,-59.95%,-60.07%,1,1,1
Destination Airports,ATL,Fort Lauderdale-Hollywood International Airport,FLL,1347314,629607,,,,,,,
Destination Airports,ATL,Orlando International Airport,MCO,1493988,621336,,,,,,,
Destination Airports,ATL,Los Angeles International,LAX,1121378,494806,,,,,,,
Destination Airports,ATL,Tampa International Airport,TPA,1062648,468738,,,,,,,
Destination Airports,ATL,Dallas/Fort Worth International,DFW,921768,459057,,,,,,,
Destination Airports,ATL,Denver International,DEN,873254,446141,,,,,,,
Destination Airports,ATL,Detroit Metropolitan Wayne County Airport,DTW,775691,408485,,,,,,,
Destination Airports,ATL,Miami,MIA,919909,398193,,,,,,,
Destination Airports,ATL,New York,LGA,1206805,381911,,,,,,,
Destination Airports,ATL,McCarran International,LAS,785511,376586,,,,,,,
Summary,DFW,Dallas/Fort Worth International,DFW,31171000,17019000,31140000,16953000,-45.40%,-45.56%,2,2,2
Destination Airports,DFW,Los Angeles International,LAX,1226132,678666,,,,,,,
Destination Airports,DFW,Denver International,DEN,829285,525160,,,,,,,
Destination Airports,DFW,McCarran International,LAS,840393,514571,,,,,,,
Destination Airports,DFW,Chicago O'Hare International,ORD,1113506,504763,,,,,,,
Destination Airports,DFW,Phoenix Sky Harbor International,PHX,695791,453657,,,,,,,
Destination Airports,DFW,Hartsfield-Jackson Atlanta International Airport,ATL,908271,450791,,,,,,,
Destination Airports,DFW,Orlando International Airport,MCO,683700,412888,,,,,,,
Destination Airports,DFW,Miami,MIA,659780,357922,,,,,,,
Destination Airports,DFW,Charlotte Douglas International Airport,CLT,542728,342986,,,,,,,
Destination Airports,DFW,Seattle-Tacoma International Airport,SEA,635003,307285,,,,,,,
Summary,DEN,Denver International,DEN,32012000,15785000,32021000,15776000,-50.69%,-50.73%,3,3,4
Destination Airports,DEN,Phoenix Sky Harbor International,PHX,1077742,625352,,,,,,,
Destination Airports,DEN,Los Angeles International,LAX,1162212,546278,,,,,,,
Destination Airports,DEN,Dallas/Fort Worth International,DFW,829098,523651,,,,,,,
Destination Airports,DEN,McCarran International,LAS,969748,513832,,,,,,,
Destination Airports,DEN,Chicago O'Hare International,ORD,1023562,512209,,,,,,,
