year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,1,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",50,6,4.88,0,0.94,0,0.18,0,0,391,329,0,51,0,11
2020,1,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",111,14,7.53,0.25,2.36,0,3.85,0,1,1070,662,15,123,0,270
2020,1,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",174,25,10.7,2.74,3.83,0,7.74,0,0,1373,686,147,121,0,419
2020,1,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3803,408,89.07,18.25,111.5,1,188.18,9,8,34017,11236,2644,4607,63,15467
2020,1,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",56,6,1.88,0,3.12,0,1,0,0,297,157,0,83,0,57
2020,1,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",40,3,0,1,0.14,0,1.86,0,0,177,0,17,11,0,149
2020,1,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",172,18,7.5,3.05,3.53,0,3.92,2,2,1973,436,1161,165,0,211
2020,1,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",18,3,1.52,0.98,0.5,0,0,1,0,757,34,694,29,0,0
2020,1,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",166,7,4.63,0,0.38,0,2,1,0,521,363,0,9,0,149
2020,1,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",80,16,4.69,0,3.01,0,8.3,0,0,1031,287,0,115,0,629
2020,1,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",17,5,0.81,0,2.87,0,1.31,0,0,236,18,0,88,0,130
2020,1,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",85,8,2.83,0.99,0.41,0,3.77,0,1,1038,143,573,15,0,307
2020,1,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",217,20,6.82,0.24,3.85,0,9.09,0,0,1396,616,50,212,0,518
2020,1,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",295,27,6.66,2.07,7.17,0,11.1,0,0,1792,449,52,320,0,971
2020,1,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",177,19,10.44,1.74,4.36,0,2.45,0,1,948,488,72,180,0,208
2020,1,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",217,22,5.49,0.01,8.45,0,8.06,0,0,1387,360,1,271,0,755
2020,1,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",327,24,9.76,0.05,5.05,0,9.13,0,0,1864,757,8,305,0,794
2020,1,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",233,32,14.52,0.88,4,0,12.59,0,0,3444,2406,23,158,0,857
2020,1,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",136,14,5.32,1.92,4.41,0,2.35,0,0,585,287,71,144,0,83
2020,1,9E,Endeavor Air Inc.,CAK,"Akron, OH: Akron-Canton Regional",36,2,2,0,0,0,0,0,0,88,88,0,0,0,0
2020,1,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",216,13,5.82,1,1.33,0,4.84,0,0,1121,297,495,46,0,283
2020,1,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",174,25,8.35,2.9,4.09,0,9.67,2,1,2093,621,148,837,0,487
2020,1,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",43,8,3.5,0.07,2.6,0,1.83,0,0,672,430,10,80,0,152
2020,1,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",81,10,5.77,1.8,2.43,0,0,2,0,1183,463,643,77,0,0
2020,1,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",385,30,10.29,0.09,7.4,0,12.21,1,0,2039,597,12,322,0,1108
2020,1,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",181,25,9.29,0,3.66,0,12.05,0,0,1888,893,0,119,0,876
2020,1,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",49,4,1.19,0,1,0,1.81,0,0,106,34,0,21,0,51
2020,1,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: Yeager",26,2,0.17,0.25,1.15,0,0.43,0,1,97,7,14,52,0,24
2020,1,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",8,1,0,1,0,0,0,0,0,36,0,36,0,0,0
2020,1,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",1117,114,22.5,3.28,24.75,0,63.46,4,0,8017,1643,381,893,0,5100
2020,1,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",112,15,4.98,0.94,5.66,0,3.42,1,0,1549,320,782,247,0,200
2020,1,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",157,23,7.25,0.94,10.13,0,4.68,1,1,2408,1749,31,313,0,315
2020,1,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",175,17,9.39,0,3.41,0,4.2,0,0,980,401,0,105,0,474
2020,1,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",95,13,4.13,0.25,6.47,0,2.15,0,2,719,133,6,473,0,107
2020,1,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",256,32,12.48,0,8.92,0,10.6,5,0,1663,679,0,278,0,706
2020,1,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1740,146,38.24,6.74,37.15,0,63.88,5,0,11357,3069,706,1223,0,6359
2020,1,9E,Endeavor Air Inc.,ELM,"Elmira/Corning, NY: Elmira/Corning Regional",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",159,13,8.05,0,1.71,0,3.25,0,0,774,409,0,105,0,260
2020,1,9E,Endeavor Air Inc.,EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",56,6,3,0,0.55,0,2.45,0,0,313,187,0,13,0,113
2020,1,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",135,22,4.53,0,13.75,0,3.72,0,0,1620,367,0,830,0,423
2020,1,9E,Endeavor Air Inc.,EYW,"Key West, FL: Key West International",32,5,0.95,1,1.39,0,1.65,0,0,926,37,767,38,0,84
2020,1,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",8,1,1,0,0,0,0,0,0,48,48,0,0,0,0
2020,1,9E,Endeavor Air Inc.,FNT,"Flint, MI: Bishop International",37,3,1.76,0,0,0,1.24,0,0,154,77,0,0,0,77
2020,1,9E,Endeavor Air Inc.,GNV,"Gainesville, FL: Gainesville Regional",137,13,6.9,0.71,1,0,4.39,0,0,627,332,21,22,0,252
2020,1,9E,Endeavor Air Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",111,13,4.76,1.11,3.68,0,3.45,1,3,737,251,156,137,0,193
2020,1,9E,Endeavor Air Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",47,1,1,0,0,0,0,0,0,697,697,0,0,0,0
2020,1,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",51,7,0.88,0.93,0.28,0,4.9,0,0,1280,73,648,60,0,499
