year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,1,NK,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",690,118,18.84,4.8,71.07,2.57,20.72,6,0,6417,1110,258,3726,53,1270
2019,1,NK,Spirit Air Lines,BOS,"Boston, MA: Logan International",399,70,7.84,2.06,42.67,0,17.43,19,2,6608,391,335,4663,0,1219
2019,1,NK,Spirit Air Lines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",646,92,22.23,1.55,41.83,2.44,23.95,6,0,7266,1520,994,3082,53,1617
2019,1,NK,Spirit Air Lines,DEN,"Denver, CO: Denver International",235,44,5.85,0.08,25.94,0,12.13,0,0,2794,245,13,1735,0,801
2019,1,NK,Spirit Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",569,83,15.72,0.44,44.83,0,22,4,0,6176,1640,78,2361,0,2097
2019,1,NK,Spirit Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",944,118,31.52,1.27,58.41,0,26.8,17,5,9356,1929,804,3588,0,3035
2019,1,NK,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",304,78,4.8,0.22,70.07,0.19,2.73,0,0,6571,359,35,5986,5,186
2019,1,NK,Spirit Air Lines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1701,282,42.78,7.81,172.37,0.6,58.44,12,0,23030,4959,597,11949,15,5510
2019,1,NK,Spirit Air Lines,IAH,"Houston, TX: George Bush Intercontinental/Houston",543,59,10.99,2.13,30.94,0.29,14.65,5,0,3658,677,248,1506,19,1208
2019,1,NK,Spirit Air Lines,LAS,"Las Vegas, NV: McCarran International",1267,184,38.29,6.95,93.57,0.21,44.97,8,0,11887,3511,385,4905,4,3082
